issue	milestone	dependencies	public_scope
1	M0	-	foundation
2	M0	1	threat-model
3	M0	1,2	domain-protocol
4	M0	1,3	workspace-scaffold
5	M0	1	design-accessibility
6	M0	2,4	quality-harness
7	M1	3,4	deck-domain
8	M1	2,4	capabilities-secrets
9	M1	3,7,8	action-runtime
10	M1	9	keyboard-action
11	M1	9	launch-actions
12	M1	9	media-actions
13	M1	9	obs-integration
14	M1	10,11,12,13	workflow-semantics
15	M1	7,8,14	local-persistence
16	M1	4,15	desktop-shell
17	M1	5,7,15,16	studio-editor
18	M1	5,9,13,16,17	desktop-surface
19	M1	8,9,15,16	profiles-hotkeys
20	M1	3,15	portability
21	M1	2,16	diagnostics
22	M1	6,16,21	desktop-release-system
23	M1	17,18,19,20,21,22	desktop-alpha
24	M2	3,9,23	oscp-codec-testkit
25	M2	2,8,24	pairing-identity-vectors
26	M2	24,25	simulators-discovery-fixtures
27	M2	24,25,26	session-recovery-conformance
28	M2	24,27	generated-protocol-clients
29	M2	28	cross-language-portability
30	M2	25,26,27,28,29	simulator-security-suite
31	M2	30	oscp-contract-release
32	M3	2,31	account-device-contracts
33	M3	3,20,32	public-e2ee-sync-client
34	M3	5,17,32,33	web-generated-clients
35	M3	24,27,32,33	relay-client-simulator
36	M3	32	billing-event-contracts
37	M3	36	entitlement-local-forever-tests
38	M3	8,32,35	oauth-residency-contracts
39	M3	32,33,34,35,36,37,38	privacy-portability-contracts
40	M3	32,33,34,35,36,37,38,39	telemetry-dr-evidence-contracts
41	M3	32,33,34,35,36,37,38,39,40	cloud-conformance-fakes
42	M3	41	cloud-contract-release-tracking
43	M4	25,28,29,31,33,35	mobile-rust-sdk
44	M4	43	ios-shell
45	M4	43	android-shell
46	M4	33,43,44,45	mobile-cache-reconnect
47	M4	5,44,45,46	mobile-ux-accessibility
48	M4	35,44,45,46,47	mobile-lifecycle
49	M4	44,45,46,47,48	mobile-security-review
50	M4	49	mobile-packaging
51	M4	50	mobile-beta
52	M5	3,8,9,51	plugin-sdk
53	M5	2,52	plugin-registry-contracts
54	M5	38,52,53	starter-integrations
55	M5	23,31,42,51,54	cross-platform-conformance
56	M5	55	ga-audit
57	M5	56	v1-release
58	M6	3,24,55	hardware-protocol
59	M6	58	firmware-simulator
60	M6	58,59	open-hardware
61	M6	59,60	hardware-conformance
